Iteration,Model number,Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
0,08,/home/jcraig/pydarwin/Example7/temp/0/08,5167.283051,11100,4757.2830506653245,True,False,False,5,4,2,99999999,0,0,No important warnings
0,04,/home/jcraig/pydarwin/Example7/temp/0/04,5167.283051,11000,4757.2830506653245,True,False,False,5,4,2,99999999,0,0,No important warnings
0,16,/home/jcraig/pydarwin/Example7/temp/0/16,5173.801300,11110,4753.80129973334,True,False,False,5,5,2,99999999,0,0,No important warnings
0,12,/home/jcraig/pydarwin/Example7/temp/0/12,5167.283051,11010,4757.2830506653245,True,False,False,5,4,2,99999999,0,0,No important warnings
0,03,/home/jcraig/pydarwin/Example7/temp/0/03,5138.492754,10000,4718.492754473165,True,False,False,6,4,2,99999999,0,0,No important warnings
0,07,/home/jcraig/pydarwin/Example7/temp/0/07,5138.492754,10100,4718.492754473165,True,False,False,6,4,2,99999999,0,0,No important warnings
0,06,/home/jcraig/pydarwin/Example7/temp/0/06,5177.204019,01100,4757.20401893152,True,False,False,5,5,2,99999999,0,0,No important warnings
0,11,/home/jcraig/pydarwin/Example7/temp/0/11,5138.492754,10010,4718.492754473165,True,False,False,6,4,2,99999999,0,0,No important warnings
0,01,/home/jcraig/pydarwin/Example7/temp/0/01,5147.702904,00000,4717.702904031223,True,False,False,6,5,2,99999999,0,0,No important warnings
0,17,/home/jcraig/pydarwin/Example7/temp/0/17,5147.702904,00001,4717.702904031223,True,False,False,6,5,2,99999999,0,0,No important warnings
0,13,/home/jcraig/pydarwin/Example7/temp/0/13,5152.756521,00110,4712.756521305126,True,False,False,6,6,2,99999999,0,0,No important warnings
0,10,/home/jcraig/pydarwin/Example7/temp/0/10,5177.204019,01010,4757.20401893152,True,False,False,5,5,2,99999999,0,0,No important warnings
0,18,/home/jcraig/pydarwin/Example7/temp/0/18,5177.204019,01001,4757.20401893152,True,False,False,5,5,2,99999999,0,0,No important warnings
0,02,/home/jcraig/pydarwin/Example7/temp/0/02,5177.204019,01000,4757.20401893152,True,False,False,5,5,2,99999999,0,0,No important warnings
0,14,/home/jcraig/pydarwin/Example7/temp/0/14,5183.801554,01110,4753.801553907213,True,False,False,5,6,2,99999999,0,0,No important warnings
0,21,/home/jcraig/pydarwin/Example7/temp/0/21,5157.651198,00101,4717.651198082309,True,False,False,6,6,2,99999999,0,0,No important warnings
0,15,/home/jcraig/pydarwin/Example7/temp/0/15,5143.037422,10110,4713.037421797231,True,False,False,6,5,2,99999999,0,0,No important warnings
0,19,/home/jcraig/pydarwin/Example7/temp/0/19,5138.492754,10001,4718.492754473165,True,False,False,6,4,2,99999999,0,0,No important warnings
0,05,/home/jcraig/pydarwin/Example7/temp/0/05,5147.702904,00100,4717.702904031223,True,False,False,6,5,2,99999999,0,0,No important warnings
0,09,/home/jcraig/pydarwin/Example7/temp/0/09,5147.702904,00010,4717.702904031223,True,False,False,6,5,2,99999999,0,0,No important warnings
0,24,/home/jcraig/pydarwin/Example7/temp/0/24,5167.283051,11101,4757.2830506653245,True,False,False,5,4,2,99999999,0,0,No important warnings
0,20,/home/jcraig/pydarwin/Example7/temp/0/20,5167.283051,11001,4757.2830506653245,True,False,False,5,4,2,99999999,0,0,No important warnings
0,23,/home/jcraig/pydarwin/Example7/temp/0/23,5138.492754,10101,4718.492754473165,True,False,False,6,4,2,99999999,0,0,No important warnings
0,26,/home/jcraig/pydarwin/Example7/temp/0/26,5177.204019,01011,4757.20401893152,True,False,False,5,5,2,99999999,0,0,No important warnings
0,22,/home/jcraig/pydarwin/Example7/temp/0/22,5183.633006,01101,4753.6330058774,True,False,False,5,6,2,99999999,0,0,No important warnings
0,25,/home/jcraig/pydarwin/Example7/temp/0/25,5147.702904,00011,4717.702904031223,True,False,False,6,5,2,99999999,0,0,No important warnings
0,32,/home/jcraig/pydarwin/Example7/temp/0/32,5173.801299,11111,4753.801299138384,True,False,False,5,5,2,99999999,0,0,No important warnings
0,27,/home/jcraig/pydarwin/Example7/temp/0/27,5138.492754,10011,4718.492754473165,True,False,False,6,4,2,99999999,0,0,No important warnings
0,31,/home/jcraig/pydarwin/Example7/temp/0/31,5143.037421,10111,4713.037420750551,True,False,False,6,5,2,99999999,0,0,No important warnings
0,28,/home/jcraig/pydarwin/Example7/temp/0/28,5167.283051,11011,4757.2830506653245,True,False,False,5,4,2,99999999,0,0,No important warnings
0,30,/home/jcraig/pydarwin/Example7/temp/0/30,5192.376577,01111,4752.376577356243,True,False,False,5,7,2,99999999,0,0,No important warnings
0,29,/home/jcraig/pydarwin/Example7/temp/0/29,5162.236663,00111,4712.236662656455,True,False,False,6,7,2,99999999,0,0,No important warnings
