Iteration,Model.number,Run.Directory,Fitness,Model,ofv,success,covar,correlation..,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran.messages
0,1,C:\Users\jcraig\pydarwin\Example8\temp\0\01,-2467.374172,110111112,-2537.3741719442132,True,True,True,9,3,2,41.76255423852224,0,0,No important warnings
0,2,C:\Users\jcraig\pydarwin\Example8\temp\0\02,-619.151577,10010110,-769.1515771040371,False,True,True,6,3,1,58.89600152180453,0,0,No important warnings
0,3,C:\Users\jcraig\pydarwin\Example8\temp\0\03,-723.685541,10111020,-783.6855408085858,True,True,True,8,3,1,84.04995770929033,0,0,No important warnings
0,4,C:\Users\jcraig\pydarwin\Example8\temp\0\04,-2475.043695,110100021,-2530.0436952941727,True,True,True,7,3,1,16.71123960849929,0,0,No important warnings
0,5,C:\Users\jcraig\pydarwin\Example8\temp\0\05,-2707.355016,101101111,-2767.355015829477,True,True,True,8,3,1,33.05976931336795,0,0,No important warnings
0,6,C:\Users\jcraig\pydarwin\Example8\temp\0\06,-2473.124967,110001022,-2533.124966931357,True,True,True,7,3,2,31.37696947796489,0,0,No important warnings
0,7,C:\Users\jcraig\pydarwin\Example8\temp\0\07,-1020.998678,11101020,-1080.9986782922522,True,True,True,8,3,1,34.0577254658579,0,0,No important warnings
0,8,C:\Users\jcraig\pydarwin\Example8\temp\0\08,-2450.522082,111012,-2505.522082170654,True,True,True,7,2,2,38.9225904679977,0,0,No important warnings
0,9,C:\Users\jcraig\pydarwin\Example8\temp\0\09,-729.066496,10010000,-769.0664961216368,True,True,True,5,2,1,55.07923139484588,0,0,No important warnings
0,10,C:\Users\jcraig\pydarwin\Example8\temp\0\10,-1052.096378,111101010,-1112.0963780599147,True,True,True,9,2,1,30.095646842346696,0,0,No important warnings
1,1,C:\Users\jcraig\pydarwin\Example8\temp\1\01,-709.532206,100111020,-769.5322059976927,True,True,True,8,3,1,40.276020950435225,0,0,No important warnings
1,2,C:\Users\jcraig\pydarwin\Example8\temp\1\02,-2808.952083,111011112,-2878.952083301862,True,True,True,9,3,2,40.451590859129475,0,0,No important warnings
1,3,C:\Users\jcraig\pydarwin\Example8\temp\1\03,-2455.337791,100111021,-2515.3377911542066,True,True,True,8,3,1,39.234682507286486,0,0,No important warnings
1,4,C:\Users\jcraig\pydarwin\Example8\temp\1\04,-2764.161654,11011122,-2834.161653547655,True,True,True,8,4,2,39.52142654375174,0,0,No important warnings
1,5,C:\Users\jcraig\pydarwin\Example8\temp\0\04,-2475.043695,110100021,-2530.0436952941727,True,True,True,7,3,1,16.71123960849929,0,0,From NM_0_04: No important warnings
1,6,C:\Users\jcraig\pydarwin\Example8\temp\0\05,-2707.355016,101101111,-2767.355015829477,True,True,True,8,3,1,33.05976931336795,0,0,From NM_0_05: No important warnings
